0
"AL011851,            UNNAMED,     14,"
"AL021851,            UNNAMED,      1,"
"AL031851,            UNNAMED,      1,"
"AL041851,            UNNAMED,     49,"
"AL051851,            UNNAMED,     16,"
"AL061851,            UNNAMED,     17,"
"AL011852,            UNNAMED,     45,"
"AL021852,            UNNAMED,      8,"
"AL031852,            UNNAMED,     20,"
"AL041852,            UNNAMED,     36,"
"AL051852,            UNNAMED,     25,"
"AL011853,            UNNAMED,      1,"
"AL021853,            UNNAMED,      1,"
"AL031853,            UNNAMED,     48,"
"AL041853,            UNNAMED,     12,"
"AL051853,            UNNAMED,      1,"
"AL061853,            UNNAMED,     22,"
"AL071853,            UNNAMED,      1,"
"AL081853,            UNNAMED,     14,"
"AL011854,            UNNAMED,     11,"
"AL021854,            UNNAMED,      1,"
"AL031854,            UNNAMED,     25,"
"AL041854,            UNNAMED,     11,"
"AL051854,            UNNAMED,     12,"
"AL011855,            UNNAMED,      1,"
"AL021855,            UNNAMED,      6,"
"AL031855,            UNNAMED,      1,"
"AL041855,            UNNAMED,     16,"
"AL051855,            UNNAMED,     11,"
"AL011856,            UNNAMED,     14,"
"AL021856,            UNNAMED,      8,"
"AL031856,            UNNAMED,     12,"
"AL041856,            UNNAMED,      1,"
"AL051856,            UNNAMED,     40,"
"AL061856,            UNNAMED,     20,"
"AL011857,            UNNAMED,      8,"
"AL021857,            UNNAMED,     47,"
"AL031857,            UNNAMED,     20,"
"AL041857,            UNNAMED,     29,"
"AL011858,            UNNAMED,      1,"
"AL021858,            UNNAMED,      1,"
"AL031858,            UNNAMED,     16,"
"AL041858,            UNNAMED,     32,"
"AL051858,            UNNAMED,     14,"
"AL061858,            UNNAMED,     22,"
"AL011859,            UNNAMED,      1,"
"AL021859,            UNNAMED,     12,"
"AL031859,            UNNAMED,      6,"
"AL041859,            UNNAMED,      7,"
"AL051859,            UNNAMED,     16,"
"AL061859,            UNNAMED,     20,"
"AL071859,            UNNAMED,     11,"
"AL081859,            UNNAMED,     24,"
"AL011860,            UNNAMED,     35,"
"AL021860,            UNNAMED,     12,"
"AL041860,            UNNAMED,     23,"
"AL031860,            UNNAMED,      1,"
"AL051860,            UNNAMED,     16,"
"AL061860,            UNNAMED,     17,"
"AL071860,            UNNAMED,     18,"
"AL011861,            UNNAMED,     28,"
